area,model,config,training_seconds,best_epoch,MAE,RMSE,MAPE,n_scored,n_missing,n_zero
5161,AR,"{""lags"": [1, 2, 3, 4, 5, 6]}",0.0004189999890513,0,113.26470959399845,167.91125267445335,9.869915713768227,1008,0,0
5161,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}",0.0007396669825538,0,109.95962700036311,160.1943719892583,10.302822413517385,1008,0,0
5161,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 144, 1008]}",0.0010621669935062,0,100.87619790967892,150.6334658327579,8.576369675679025,1008,0,0
5161,LSTM,"{""length"": 12, ""hidden"": 16}",2.257980875001522,30,110.63823968220272,161.83398522051283,10.513186127595832,1008,0,0
5161,LSTM,"{""length"": 12, ""hidden"": 32}",2.3657023329869844,21,119.70089685272958,166.20309258836215,13.865557072926125,1008,0,0
5161,LSTM,"{""length"": 144, ""hidden"": 16}",21.60750574999838,30,106.66916041551757,153.9773834614897,10.78626574652038,1008,0,0
5161,LSTM,"{""length"": 144, ""hidden"": 32}",28.82469987499644,29,110.01100082130102,156.25583899087783,11.976791285303976,1008,0,0
5059,AR,"{""lags"": [1, 2, 3, 4, 5, 6]}",0.0004325000045355,0,102.72422162999322,143.3038753583241,8.871399135601925,1008,0,0
5059,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}",0.0007446660019923,0,92.80182256884802,130.88664066079403,8.237705663356236,1008,0,0
5059,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 144, 1008]}",0.000654499977827,0,87.04794029800871,128.5283609897172,7.141511690019114,1008,0,0
5059,LSTM,"{""length"": 12, ""hidden"": 16}",2.2255736670049373,28,97.27817378029944,142.47868153169708,7.981395696133784,1008,0,0
5059,LSTM,"{""length"": 12, ""hidden"": 32}",2.9664937919878867,30,94.5168610445288,138.14045174279514,7.724679885165345,1008,0,0
5059,LSTM,"{""length"": 144, ""hidden"": 16}",17.419088666996686,16,94.11049841102404,138.0586179012472,7.898653372186478,1008,0,0
5059,LSTM,"{""length"": 144, ""hidden"": 32}",33.34947283301153,30,92.6111747065684,136.59135814819842,7.444757285095363,1008,0,0
5259,AR,"{""lags"": [1, 2, 3, 4, 5, 6]}",0.0013040420017205,0,82.82934668872657,121.2896100497944,7.298796761751386,1008,0,0
5259,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}",0.0008751249988563,0,80.94521244648388,119.6825503266271,7.18477886423271,1008,0,0
5259,AR,"{""lags"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 144, 1008]}",0.0052953750127926,0,79.5370627395461,117.69513654784356,7.048968137099737,1008,0,0
5259,LSTM,"{""length"": 12, ""hidden"": 16}",3.5967545000021346,30,79.79963438220838,116.0315758444532,7.191622258896822,1008,0,0
5259,LSTM,"{""length"": 12, ""hidden"": 32}",3.2090995410108007,30,82.4087069172949,118.35339397296096,7.707824748414524,1008,0,0
5259,LSTM,"{""length"": 144, ""hidden"": 16}",26.65243670900236,30,79.11427160464123,114.10409538155751,7.177595336036899,1008,0,0
5259,LSTM,"{""length"": 144, ""hidden"": 32}",34.71517350000795,30,78.89992686280799,114.34848761528394,7.018680072687482,1008,0,0
5161,Holt-Winters,"{""damped"": false}",2.081619792006677,0,103.05194846897382,154.00211997198784,8.100243622493837,1008,0,0
5161,Holt-Winters,"{""damped"": true}",0.6572917079902254,0,102.87915272948938,154.16649638141968,8.06574146515736,1008,0,0
5059,Holt-Winters,"{""damped"": false}",2.1428587500122376,0,86.89339655503466,124.8834888078395,7.525374751918387,1008,0,0
5059,Holt-Winters,"{""damped"": true}",0.50525062502129,0,86.89678434995963,124.87664360421259,7.52819068715041,1008,0,0
5259,Holt-Winters,"{""damped"": false}",1.1627568749827333,0,82.08067263853093,113.77303016242065,8.507507246280326,1008,0,0
5259,Holt-Winters,"{""damped"": true}",1.1411535830120556,0,80.41862430821067,112.4909255778736,8.234308859341679,1008,0,0
