model,MAE,MAPE,RMSE,n_scored,n_missing,n_zero
AR,80.87043291724093,8.487365741059696,113.02941794738167,1008,0,0
LSTM,75.12506003435006,7.069905550204074,109.0089749803071,1008,0,0
Holt-Winters,69.74938628768942,7.360297911790438,99.37008418740574,1008,0,0
