model,MAE,MAPE,RMSE,n_scored,n_missing,n_zero
AR,67.30495820834501,7.714777030498336,95.27525357163503,1008,0,0
LSTM,67.45992961253083,7.762643650304227,95.4642769495077,1008,0,0
Holt-Winters,68.43626381909013,8.776294081640224,92.9383428176059,1008,0,0
