area,model,threshold,peak_points,peak_bias,peak_mae
5059,AR,2752.5042389801106,51,-52.499918605189336,115.85572848236589
5059,Holt-Winters,2752.5042389801106,51,-81.73369338611475,125.66760654692123
5059,LSTM,2752.5042389801106,51,-52.20291041614952,124.8553910163118
5161,AR,3877.2264015318533,51,13.550588003609276,157.9876819510724
5161,Holt-Winters,3877.2264015318533,51,-55.12719206942119,189.72108379167076
5161,LSTM,3877.2264015318533,51,21.558501483054727,174.5407991349542
5259,AR,3287.8291132041554,51,-73.50181730346777,120.43411295402503
5259,Holt-Winters,3287.8291132041554,51,-54.258842200613756,119.78807785521934
5259,LSTM,3287.8291132041554,51,-86.96733411332244,115.75162470950484
