model,MAE,MAPE,RMSE,n_scored,n_missing,n_zero
AR,90.33471894859156,10.290193014130187,130.72785268363506,1008,0,0
LSTM,87.1776023943057,11.406739052425484,124.57834146831756,1008,0,0
Holt-Winters,81.68883202991718,8.332690602683147,122.49487412262518,1008,0,0
